name,num_downloads,owners_and_repo
clean-css,15284708,jakubpawlowicz/clean-css
object-visit,15244035,jonschlinkert/object-visit
collection-visit,15240382,jonschlinkert/collection-visit
@typescript-eslint/experimental-utils,15234748,typescript-eslint/typescript-eslint
map-visit,15233979,jonschlinkert/map-visit
process,15216187,defunctzombie/node-process
pascalcase,15199572,jonschlinkert/pascalcase
delegates,15178073,tj/node-delegates
w3c-hr-time,15128017,jsdom/w3c-hr-time
@types/qs,15115534,DefinitelyTyped/DefinitelyTyped
color,15101834,Qix-/color
run-async,15095275,SBoudrias/run-async
eslint-import-resolver-node,15085450,benmosher/eslint-plugin-import
collect-v8-coverage,15044159,
lodash.uniq,15000359,lodash/lodash
html-entities,14985382,mdevils/node-html-entities
wordwrap,14969961,substack/node-wordwrap
setimmediate,14962048,YuzuJS/setImmediate
responselike,14958517,lukechilds/responselike
@types/eslint,14902763,DefinitelyTyped/DefinitelyTyped
promise-inflight,14857447,iarna/promise-inflight
is-generator-fn,14841254,sindresorhus/is-generator-fn
duplexify,14840544,mafintosh/duplexify
@babel/plugin-transform-react-jsx,14795789,babel/babel
xmlchars,14792294,lddubeau/xmlchars
arr-flatten,14753991,jonschlinkert/arr-flatten
ora,14727704,sindresorhus/ora
trim-newlines,14725872,sindresorhus/trim-newlines
union-value,14725042,jonschlinkert/union-value
deep-equal,14721325,inspect-js/node-deep-equal
xml2js,14714227,Leonidas-from-XIV/node-xml2js
@types/express,14707405,DefinitelyTyped/DefinitelyTyped
magic-string,14702530,Rich-Harris/magic-string
object.fromentries,14677526,es-shims/Object.fromEntries
prepend-http,14669651,sindresorhus/prepend-http
has-unicode,14658135,iarna/has-unicode
global-dirs,14637672,sindresorhus/global-dirs
mixin-deep,14632705,jonschlinkert/mixin-deep
asap,14624613,kriskowal/asap
websocket-driver,14622167,faye/websocket-driver-node
has-ansi,14595308,chalk/has-ansi
@babel/plugin-transform-react-display-name,14567469,babel/babel
split-string,14559788,jonschlinkert/split-string
use,14544393,jonschlinkert/use
buffer-crc32,14543147,brianloveswords/buffer-crc32
cache-base,14526363,jonschlinkert/cache-base
boxen,14525830,sindresorhus/boxen
socks-proxy-agent,14511572,TooTallNate/node-socks-proxy-agent
base,14505169,base/base
snapdragon,14481536,here-be/snapdragon
yn,14478677,sindresorhus/yn
global-prefix,14477598,jonschlinkert/global-prefix
@babel/plugin-transform-runtime,14477090,babel/babel
class-utils,14468284,jonschlinkert/class-utils
postcss-loader,14467709,postcss/postcss-loader
svgo,14465302,svg/svgo
jest-circus,14452262,facebook/jest
proxy-from-env,14445930,Rob--W/proxy-from-env
enquirer,14429316,enquirer/enquirer
@types/express-serve-static-core,14412142,DefinitelyTyped/DefinitelyTyped
throat,14406535,ForbesLindesay/throat
dedent,14393227,dmnd/dedent
param-case,14344818,blakeembrey/change-case
strip-eof,14340012,sindresorhus/strip-final-newline
string.prototype.matchall,14307183,ljharb/String.prototype.matchAll
symbol-tree,14276898,jsdom/js-symbol-tree
stream-shift,14200251,mafintosh/stream-shift
global-modules,14184985,jonschlinkert/global-modules
crypto-random-string,14142834,sindresorhus/crypto-random-string
color-string,14121298,Qix-/color-string
clone-deep,14109976,jonschlinkert/clone-deep
shallow-clone,14075692,jonschlinkert/shallow-clone
upath,14060301,anodynos/upath
jws,14028041,brianloveswords/node-jws
object.getownpropertydescriptors,14027886,es-shims/Object.getOwnPropertyDescriptors
del,14027137,sindresorhus/del
cli-truncate,14009170,sindresorhus/cli-truncate
tar-stream,14005790,mafintosh/tar-stream
jwa,13995875,brianloveswords/node-jwa
babel-plugin-dynamic-import-node,13991131,airbnb/babel-plugin-dynamic-import-node
eslint-config-prettier,13963199,prettier/eslint-config-prettier
lodash.isplainobject,13939745,lodash/lodash
ast-types,13939251,benjamn/ast-types
@emotion/memoize,13934877,emotion-js/emotion
unique-string,13925980,sindresorhus/unique-string
decimal.js,13914938,MikeMcl/decimal.js
deep-extend,13906831,unclechu/node-deep-extend
cli-spinners,13900863,sindresorhus/cli-spinners
pinkie,13840074,floatdrop/pinkie
widest-line,13839939,sindresorhus/widest-line
@types/prop-types,13836302,DefinitelyTyped/DefinitelyTyped
bindings,13822517,TooTallNate/node-bindings
pinkie-promise,13820187,floatdrop/pinkie-promise
date-fns,13805373,date-fns/date-fns
array.prototype.flatmap,13792731,es-shims/Array.prototype.flatMap
@types/mime,13788695,DefinitelyTyped/DefinitelyTyped
p-retry,13783199,sindresorhus/p-retry
estree-walker,13765343,Rich-Harris/estree-walker
infer-owner,13743792,npm/infer-owner
query-string,13720944,sindresorhus/query-string
@babel/preset-react,13718376,babel/babel
browser-process-hrtime,13708774,kumavis/browser-process-hrtime
jsx-ast-utils,13683830,evcohen/jsx-ast-utils
@types/range-parser,13668895,
@types/serve-static,13662919,DefinitelyTyped/DefinitelyTyped
is-potential-custom-element-name,13628828,mathiasbynens/is-potential-custom-element-name
terminal-link,13622314,sindresorhus/terminal-link
socks,13584761,JoshGlazebrook/socks
@aws-sdk/types,13553194,
@babel/plugin-transform-typescript,13544476,babel/babel
hoist-non-react-statics,13482463,mridgway/hoist-non-react-statics
@types/body-parser,13451052,DefinitelyTyped/DefinitelyTyped
normalize-range,13393533,jamestalmage/normalize-range
object-is,13387111,es-shims/object-is
eslint-plugin-react,13378216,yannickcr/eslint-plugin-react
babel-plugin-macros,13331660,kentcdodds/babel-plugin-macros
fd-slicer,13318491,andrewrk/node-fd-slicer
dayjs,13313757,iamkun/dayjs
http-proxy,13307322,http-party/node-http-proxy
ansi-align,13294744,nexdrew/ansi-align
cli-boxes,13289411,sindresorhus/cli-boxes
@szmarczak/http-timer,13286395,szmarczak/http-timer
@types/connect,13265844,DefinitelyTyped/DefinitelyTyped
url-parse,13264921,unshiftio/url-parse
@babel/runtime-corejs3,13260933,babel/babel
min-indent,13231319,thejameskyle/min-indent
mini-css-extract-plugin,13210989,webpack-contrib/mini-css-extract-plugin
defaults,13194087,tmpvar/defaults
p-timeout,13185080,sindresorhus/p-timeout
object-hash,13128572,puleos/object-hash
http-proxy-middleware,13085500,chimurai/http-proxy-middleware
asn1.js,13076128,indutny/asn1.js
@babel/preset-typescript,13058348,babel/babel
file-loader,13021014,webpack-contrib/file-loader
rc,12981916,dominictarr/rc
sha.js,12964288,crypto-browserify/sha.js
pretty-bytes,12948695,sindresorhus/pretty-bytes
json-buffer,12945410,dominictarr/json-buffer
rechoir,12922328,gulpjs/rechoir
shell-quote,12905466,substack/node-shell-quote
